id	gene_symbol	Description(s)	PanPan	PanTro	HomSap	GorGor	PonPyg	PonAbe	SymSyn
3	PPP2R3B-2	serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta;protein phosphatase 2 regulatory subunit B''beta;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like	0	0	0	0	0	0	0
6	CSF2RA-2	granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like;colony stimulating factor 2 receptor subunit alpha;granulocyte-macrophage colony-stimulating factor receptor subunit alpha	0	0	0	0	88.718	90.526	0
20	RPS4Y1	40S ribosomal protein S4, Y;ribosomal protein S4 Y-linked 2;ribosomal protein S4 Y-linked 1	95.038	95.420	93.893	96.507	95.437	95.437	94.275
28	VCY1B	testis-specific basic protein Y 1-like;variable charge X-linked protein 3-like;variable charge X-linked protein 1;variable charge Y-linked 1B;variable charge X-linked protein 2;variable charge X-linked protein 3;eukaryotic translation initiation factor 4 gamma-like;variable charge Y-linked	100.000	100.000	100.000	0	0	0	0
44	RBMY1A1	RNA-binding motif protein, X chromosome-like;RNA-binding motif protein, Y chromosome, family 1 member A1-like;RNA binding motif protein Y-linked family 1 member E;RNA binding motif protein Y-linked family 1 member J;RNA binding motif protein Y-linked family 1 member D;RNA binding motif protein Y-linked family 1 member B;RNA binding motif protein Y-linked family 1 member F;RNA-binding motif protein, Y chromosome, family 1 member B-like;RNA binding motif protein Y-linked family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member F/J-like;RNA-binding motif protein, Y chromosome, family 1 member F/J	99.348;88.531;99.565;89.336;87.907;99.451;98.696;88.732;89.135;88.732;77.734;99.348;89.135;89.537;88.934;77.734;89.336;89.537;88.934;99.348;88.934;88.934;98.696;99.783;89.135;99.348;98.913;88.934;89.135;98.913;89.940;88.605;99.451;98.478;89.336;89.738;89.336;77.734;99.130;89.738;90.342;89.537;77.734;90.141;90.141;89.537;99.130;89.537;89.537;98.478;99.130;89.940;99.130;98.696;89.537;88.732;98.793;97.674;97.802;89.135;99.396;99.396;99.396;77.344;88.732;99.396;98.390;99.598;77.344;98.592;98.994;99.195;88.732;99.195;99.598;89.135;88.732;98.592;88.732;88.330;99.598;89.537;87.674;98.901;98.261;88.934;89.336;88.934;77.344;98.913;89.336;89.336;89.135;77.344;89.135;89.738;89.135;98.913;89.135;88.732;98.261;99.348;88.934;98.913;98.478;89.135;98.605;98.901;89.940;98.994;99.396;98.994;77.344;89.537;99.396;99.195;99.195;77.344;98.994;99.799;99.195;89.537;99.195;98.793;89.940;89.537;98.793;89.537;89.135;99.195;98.261;88.605;97.907;98.372;97.907;77.778;88.140;98.372;99.070;98.140;77.778;98.837;98.837;98.372;88.140;98.140;98.140;88.605;87.674;98.605;88.140;87.674;98.140;99.451;97.802;97.802;97.802;80.220;99.451;97.802;99.451;97.802;80.220;99.451;98.901;97.253;99.451;97.802;98.352;99.451;99.451;98.352;99.451;99.451;97.802;89.336;89.738;89.336;77.734;99.348;89.738;90.342;89.537;77.734;90.141;90.141;89.537;99.348;89.537;89.537;100.000;98.478;89.940;99.348;98.913;89.537;99.799;99.799;99.799;77.344;89.135;99.799;98.793;100.000;77.344;98.994;99.396;99.598;89.135;99.598;99.598;89.537;89.135;98.994;89.135;88.732;99.598;100.000;77.344;88.934;99.598;98.592;99.799;77.344;98.793;99.195;99.396;88.934;99.396;99.396;89.336;88.934;98.793;88.934;88.531;99.598;77.344;89.336;100.000;98.994;99.799;77.344;98.793;99.598;99.799;89.336;99.799;99.396;89.738;89.336;99.195;89.336;88.934;77.344;88.934;99.598;98.592;99.799;77.344;98.793;99.195;99.396;88.934;99.396;99.396;89.336;88.934;98.793;88.934;88.531;77.734;77.344;77.734;77.344;100.000;77.734;77.344;76.953;77.734;77.344;77.734;77.734;77.734;77.734;77.734;77.734;89.336;89.940;89.135;77.734;89.738;89.738;89.135;100.000;89.135;89.135;99.348;99.130;89.537;100.000;99.565;98.994;99.799;77.344;98.793;99.598;99.799;89.336;99.799;99.396;89.738;89.336;99.195;89.336;88.934;98.793;77.344;98.994;99.396;99.598;89.135;99.598;99.598;89.537;89.135;98.994;89.135;88.732;77.734;77.734;77.344;76.953;77.734;77.344;77.734;77.734;77.734;77.734;77.734;77.734;99.799;99.195;98.592;89.738;98.592;98.994;90.141;89.738;99.396;89.738;89.336;99.396;99.396;89.738;99.396;98.994;90.141;89.738;98.994;89.738;89.336;98.793;89.135;99.598;99.195;89.537;89.135;98.994;89.135;88.732;89.940;89.135;89.135;99.348;99.130;89.537;100.000;99.565;98.793;99.195;89.537;89.135;98.994;89.135;88.732;98.793;89.537;89.135;98.994;89.135;88.732;90.342;98.478;89.940;99.348;98.913;89.940;89.537;99.130;98.696;99.598;89.537;89.135;89.940;99.565;89.537	83.702;83.702;83.501;83.501;83.501;83.702;93.299;98.994;99.598;98.994;99.598;97.586;92.268;99.396;99.195;99.396;97.586;93.814;98.592;100.000;97.384;92.268;98.592;97.384;92.784;97.384;92.268;92.268	98.790;98.790;99.597;99.597;99.597;100.000;99.194;99.194;99.194;99.194;99.194;99.194;99.597;99.597;100.000	87.826;90.332;95.909;87.609;87.609;90.544;94.563;86.087;95.035;73.494;87.826;87.391;82.337;94.545;99.783;99.565;85.870;88.261;94.348;91.304;76.707;95.652;99.348;93.182;82.065;81.793;90.937;93.656;83.696;90.634;73.896;81.793;81.522;94.091;94.091;95.000;95.909;92.727;94.545;79.911;95.909;93.636;99.348;85.652;88.043;94.130;91.087;76.305;95.435;99.565;85.652;88.478;94.348;90.870;76.305;95.217;99.348;94.090;83.261;93.144;58.685;83.478;85.435;85.652;96.217;54.779;86.739;88.043;85.652;73.896;93.261;94.130;76.707;87.609;90.652;74.699;75.904;95.000	66.926;66.537;66.537;66.537;63.799;63.799;100.000;99.469;99.469;99.469;99.735;99.735;66.926;100.000;100.000;99.204;99.204;66.537;100.000;99.204;99.204;66.537;99.204;99.204;66.537;100.000;63.799;63.799	66.926;100.000;66.926;66.926;100.000;66.926	93.819;93.819;93.819;93.819;100.000;100.000;100.000;100.000;100.000;100.000
45	TSPY9	testis specific protein Y-linked 9;testis specific protein Y-linked 10;testis specific protein Y-linked 4;testis-specific Y-encoded protein 3;testis specific protein Y-linked 3;testis specific protein Y-linked 1;testis-specific Y-encoded protein 4;testis specific protein Y-linked 2;testis-specific Y-encoded protein 1;testis-specific Y-encoded protein 4-like;testis-specific Y-encoded protein 2-like;testis-specific Y-encoded protein 1-like;testis-specific Y-encoded-like protein 4;testis specific protein Y-linked 8;testis-specific Y-encoded protein 8-like;testis-specific Y-encoded protein 8;testis-specific Y-encoded protein 3-like	86.885;86.885;100.000;99.621;99.242;100.000;99.621;99.286;85.294;99.621;100.000;100.000;86.885;85.849;99.621;86.885;99.621;100.000;85.792;85.294;100.000;99.242;100.000;85.294;100.000;100.000;86.885;87.432;86.885;86.885;87.432;86.364;66.667;87.432;86.885;86.885;99.539;98.618;87.432;100.000;87.432;86.885;99.078;66.667;86.885;86.885;86.885;66.667;86.885;86.885;87.432;86.885;86.885;87.432;86.364;66.667;87.432;86.885;86.885;99.539;98.618;87.432;100.000;87.432;86.885;99.078;66.667;86.885;86.885;86.885;66.667;86.885;99.621;99.242;100.000;99.621;99.286;85.294;99.621;100.000;100.000;86.885;85.849;99.621;86.885;99.621;100.000;85.792;85.294;100.000;99.242;100.000;85.294;100.000;98.864;99.621;100.000;100.000;85.294;100.000;99.621;99.621;87.432;86.321;100.000;87.432;100.000;99.621;86.339;85.294;99.621;98.864;99.621;85.294;99.621;99.242;98.864;98.571;85.294;98.864;99.242;99.242;86.885;85.849;98.864;86.885;98.864;99.242;85.792;85.294;99.242;100.000;99.242;85.294;99.242;99.621;99.286;85.294;99.621;100.000;100.000;86.885;85.849;99.621;86.885;99.621;100.000;85.792;85.294;100.000;99.242;100.000;85.294;100.000;100.000;85.294;100.000;99.621;99.621;87.432;86.321;100.000;87.432;100.000;99.621;86.339;85.294;99.621;98.864;99.621;85.294;99.621;85.294;100.000;99.286;99.286;86.364;85.227;100.000;86.364;100.000;99.286;85.227;85.294;99.286;98.571;99.286;85.294;99.286;85.294;85.294;85.294;66.667;66.667;85.294;66.667;85.294;85.294;66.667;100.000;85.294;85.294;85.294;100.000;85.294;99.621;99.621;87.432;86.321;100.000;87.432;100.000;99.621;86.339;85.294;99.621;98.864;99.621;85.294;99.621;100.000;86.885;85.849;99.621;86.885;99.621;100.000;85.792;85.294;100.000;99.242;100.000;85.294;100.000;86.885;85.849;99.621;86.885;99.621;100.000;85.792;85.294;100.000;99.242;100.000;85.294;100.000;98.157;87.432;99.539;87.432;86.885;98.618;66.667;86.885;86.885;86.885;66.667;86.885;86.321;98.618;86.321;85.849;99.539;66.667;85.849;85.849;85.849;66.667;85.849;87.432;100.000;99.621;86.339;85.294;99.621;98.864;99.621;85.294;99.621;87.432;86.885;99.078;66.667;86.885;86.885;86.885;66.667;86.885;99.621;86.339;85.294;99.621;98.864;99.621;85.294;99.621;85.792;85.294;100.000;99.242;100.000;85.294;100.000;66.667;85.792;85.792;85.792;66.667;85.792;85.294;85.294;85.294;100.000;85.294;99.242;100.000;85.294;100.000;99.242;85.294;99.242;85.294;100.000;85.294	99.228;99.228;99.251;99.228;99.228;86.667;99.228;100.000;99.228;100.000;99.228;88.679;100.000;99.228;100.000;99.228;99.228;99.625;99.228;99.228;99.228;59.036;99.228;99.242;98.456;99.242;99.242;82.353;99.242;99.228;99.242;99.228;99.242;88.208;99.228;99.242;99.228;99.242;99.242;98.842;99.242;99.242;99.242;59.036;99.242;98.456;100.000;100.000;82.353;100.000;99.228;100.000;99.228;100.000;89.151;99.228;100.000;99.228;100.000;100.000;99.614;100.000;100.000;100.000;59.036;100.000;98.456;98.456;90.000;98.456;99.251;98.456;99.251;98.456;88.208;99.251;98.456;99.251;98.456;98.456;98.876;98.456;98.456;98.456;59.036;98.456;100.000;82.353;100.000;99.228;100.000;99.228;100.000;89.151;99.228;100.000;99.228;100.000;100.000;99.614;100.000;100.000;100.000;59.036;100.000;82.353;100.000;99.228;100.000;99.228;100.000;89.151;99.228;100.000;99.228;100.000;100.000;99.614;100.000;100.000;100.000;59.036;100.000;82.353;86.667;82.353;86.667;82.353;66.667;86.667;82.353;86.667;82.353;82.353;86.667;82.353;82.353;82.353;62.069;82.353;99.228;100.000;99.228;100.000;89.151;99.228;100.000;99.228;100.000;100.000;99.614;100.000;100.000;100.000;59.036;100.000;99.228;100.000;99.228;88.679;100.000;99.228;100.000;99.228;99.228;99.625;99.228;99.228;99.228;59.036;99.228;99.228;100.000;89.151;99.228;100.000;99.228;100.000;100.000;99.614;100.000;100.000;100.000;59.036;100.000;99.228;88.679;100.000;99.228;100.000;99.228;99.228;99.625;99.228;99.228;99.228;59.036;99.228;89.151;99.228;100.000;99.228;100.000;100.000;99.614;100.000;100.000;100.000;59.036;100.000;88.679;89.151;88.679;89.151;89.151;89.151;89.151;89.151;89.151;63.855;89.151;99.228;100.000;99.228;99.228;99.625;99.228;99.228;99.228;59.036;99.228;99.228;100.000;100.000;99.614;100.000;100.000;100.000;59.036;100.000;99.228;99.228;99.625;99.228;99.228;99.228;59.036;99.228;100.000;99.614;100.000;100.000;100.000;59.036;100.000;99.614;100.000;100.000;100.000;59.036;100.000;99.614;99.614;99.614;59.036;99.614;100.000;100.000;59.036;100.000;100.000;59.036;100.000;59.036;100.000;59.036	100.000;99.351;99.675;99.675;99.675;97.771;99.675;97.771;100.000;100.000;100.000;97.771;99.351;100.000;97.771;97.771;99.675;99.351;97.771;100.000;100.000;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.351;99.675;99.675;99.675;97.771;99.675;97.771;100.000;100.000;100.000;97.771;99.351;100.000;97.771;97.771;99.675;99.351;97.771;100.000;100.000;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.026;99.026;99.675;97.134;99.675;97.771;99.351;99.351;99.351;97.134;99.351;99.351;97.134;97.771;99.675;99.351;97.134;99.111;99.351;99.351;99.675;99.351;99.351;99.675;99.351;99.351;99.351;99.026;97.452;97.771;99.351;99.675;99.026;99.351;99.351;98.701;99.351;97.134;97.771;97.452;99.351;99.351;99.351;97.452;99.351;97.452;99.675;99.675;99.675;97.452;99.675;99.675;97.452;97.452;99.351;99.026;97.452;99.556;99.675;99.675;99.351;99.675;99.675;99.351;99.675;99.675;99.675;98.701;97.771;97.452;99.675;99.351;99.351;99.675;99.675;99.026;99.675;96.815;97.452;97.771;99.675;99.351;97.452;99.351;97.452;99.675;99.675;99.675;97.452;99.026;99.675;97.452;97.452;99.351;99.026;97.452;100.000;99.675;99.675;99.351;99.675;99.675;99.351;99.675;99.675;99.675;98.701;97.771;97.452;99.675;99.351;99.351;99.675;99.675;99.026;99.675;96.815;97.452;97.771;99.675;97.452;100.000;98.089;99.675;99.675;99.675;97.452;99.675;99.675;97.452;98.089;100.000;99.026;97.452;99.556;99.675;99.675;100.000;99.675;99.675;100.000;99.675;99.675;99.675;99.351;97.771;98.089;99.675;99.351;99.351;99.675;99.675;99.026;99.675;97.452;98.089;97.771;99.675;97.452;99.363;97.771;97.771;97.771;100.000;97.134;97.771;100.000;99.363;97.452;97.134;100.000;96.970;97.771;97.771;97.452;97.771;97.771;97.452;97.771;97.771;97.771;97.452;99.682;99.363;97.771;97.452;97.452;97.771;97.771;97.134;97.771;98.726;99.363;99.682;97.771;98.089;99.675;99.675;99.675;97.452;99.675;99.675;97.452;98.089;100.000;99.026;97.452;99.556;99.675;99.675;100.000;99.675;99.675;100.000;99.675;99.675;99.675;99.351;97.771;98.089;99.675;99.351;99.351;99.675;99.675;99.026;99.675;97.452;98.089;97.771;99.675;97.771;97.771;97.771;99.363;97.771;97.771;99.363;100.000;98.089;97.134;99.363;96.970;97.771;97.771;98.089;97.771;97.771;98.089;97.771;97.771;97.771;97.452;99.682;100.000;97.771;97.452;97.452;97.771;97.771;97.134;97.771;99.363;100.000;99.682;97.771;100.000;100.000;97.771;99.351;100.000;97.771;97.771;99.675;99.351;97.771;100.000;100.000;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;100.000;97.771;99.351;100.000;97.771;97.771;99.675;99.351;97.771;100.000;100.000;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;97.771;99.351;100.000;97.771;97.771;99.675;99.351;97.771;100.000;100.000;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;97.134;97.771;100.000;99.363;97.452;97.134;100.000;96.970;97.771;97.771;97.452;97.771;97.771;97.452;97.771;97.771;97.771;97.452;99.682;99.363;97.771;97.452;97.452;97.771;97.771;97.134;97.771;98.726;99.363;99.682;97.771;99.351;97.134;97.771;99.675;98.701;97.134;99.111;99.351;99.351;99.675;99.351;99.351;99.675;99.351;99.351;99.351;99.026;97.452;97.771;99.351;99.026;99.026;99.351;99.351;98.701;99.351;97.134;97.771;97.452;99.351;97.771;97.771;99.675;99.351;97.771;100.000;100.000;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.363;97.452;97.134;100.000;96.970;97.771;97.771;97.452;97.771;97.771;97.452;97.771;97.771;97.771;97.452;99.682;99.363;97.771;97.452;97.452;97.771;97.771;97.134;97.771;98.726;99.363;99.682;97.771;98.089;97.134;99.363;96.970;97.771;97.771;98.089;97.771;97.771;98.089;97.771;97.771;97.771;97.452;99.682;100.000;97.771;97.452;97.452;97.771;97.771;97.134;97.771;99.363;100.000;99.682;97.771;99.026;97.452;99.556;99.675;99.675;100.000;99.675;99.675;100.000;99.675;99.675;99.675;99.351;97.771;98.089;99.675;99.351;99.351;99.675;99.675;99.026;99.675;97.452;98.089;97.771;99.675;97.134;99.556;99.351;99.351;99.026;99.351;99.351;99.026;99.351;99.351;99.351;98.377;97.452;97.134;99.351;99.675;99.026;99.351;99.351;98.701;99.351;96.497;97.134;97.452;99.351;96.970;97.771;97.771;97.452;97.771;97.771;97.452;97.771;97.771;97.771;97.452;99.682;99.363;97.771;97.452;97.452;97.771;97.771;97.134;97.771;98.726;99.363;99.682;97.771;100.000;100.000;99.556;100.000;100.000;99.556;100.000;100.000;100.000;99.111;97.403;96.970;100.000;99.556;100.000;100.000;100.000;99.111;100.000;96.104;96.970;97.403;100.000;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.675;100.000;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.675;99.675;100.000;99.675;99.675;99.675;99.351;97.771;98.089;99.675;99.351;99.351;99.675;99.675;99.026;99.675;97.452;98.089;97.771;99.675;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.675;100.000;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.675;99.675;99.675;99.351;97.771;98.089;99.675;99.351;99.351;99.675;99.675;99.026;99.675;97.452;98.089;97.771;99.675;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.026;98.089;97.771;100.000;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;97.134;97.452;99.026;98.701;99.351;99.026;99.026;98.377;99.026;96.815;97.452;97.134;99.026;99.682;98.089;97.771;97.771;98.089;98.089;97.452;98.089;99.045;99.682;100.000;98.089;97.771;97.452;97.452;97.771;97.771;97.134;97.771;99.363;100.000;99.682;97.771;99.675;99.675;100.000;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.351;99.675;99.675;99.026;99.675;96.815;97.452;97.771;99.675;99.675;99.675;99.026;99.675;96.815;97.452;97.771;99.675;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.351;100.000;97.134;97.771;98.089;100.000;99.351;97.134;97.134;97.452;99.351;97.134;97.771;98.089;100.000;99.363;99.045;97.134;99.682;97.771;98.089	99.618;99.618;99.618;99.618;99.618;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000	99.242;99.621;99.621;99.242;99.242;100.000;99.242;99.242;99.621;99.621;98.864;99.242;99.242;99.621;99.621;99.242;99.242;99.621;95.076;99.242;99.242;99.242;99.242;99.621;99.621;100.000;99.621;99.621;100.000;100.000;100.000;100.000;100.000;99.621;99.621;99.621;100.000;100.000;99.621;99.621;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;100.000;99.621;99.621;100.000;99.621;99.621;100.000;100.000;99.242;99.621;99.621;100.000;100.000;99.621;99.621;100.000;95.455;99.621;99.621;99.621;99.621;100.000;100.000;100.000;99.621;99.621;100.000;99.621;99.621;100.000;100.000;99.242;99.621;99.621;100.000;100.000;99.621;99.621;100.000;95.455;99.621;99.621;99.621;99.621;100.000;100.000;100.000;100.000;100.000;100.000;100.000;99.621;99.621;99.621;100.000;100.000;99.621;99.621;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;100.000;100.000;100.000;99.621;99.621;99.621;100.000;100.000;99.621;99.621;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;100.000;100.000;100.000;100.000;99.448;100.000;100.000;100.000;100.000;100.000;100.000;100.000;95.028;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;99.621;99.621;99.621;100.000;100.000;99.621;99.621;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;99.621;99.621;99.621;100.000;100.000;99.621;99.621;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;100.000;99.242;99.621;99.621;100.000;100.000;99.621;99.621;100.000;95.455;99.621;99.621;99.621;99.621;100.000;100.000;100.000;99.242;99.621;99.621;100.000;100.000;99.621;99.621;100.000;95.455;99.621;99.621;99.621;99.621;100.000;100.000;100.000;99.621;99.621;99.242;99.242;99.621;99.621;99.242;95.455;99.621;99.621;99.621;99.621;99.242;99.242;99.448;100.000;99.621;99.621;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;99.621;99.621;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;100.000;99.621;99.621;100.000;95.455;99.621;99.621;99.621;99.621;100.000;100.000;100.000;99.621;99.621;100.000;95.455;99.621;99.621;99.621;99.621;100.000;100.000;100.000;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;99.621;95.833;100.000;100.000;100.000;100.000;99.621;99.621;100.000;95.455;99.621;99.621;99.621;99.621;100.000;100.000;100.000;95.833;95.833;95.833;95.833;95.455;95.455;95.028;100.000;100.000;100.000;99.621;99.621;100.000;100.000;100.000;99.621;99.621;100.000;100.000;99.621;99.621;100.000;99.621;99.621;100.000;100.000;100.000;100.000	79.565;99.228;99.228;99.228;99.621;98.456;99.242;99.228;99.228;99.228;100.000;99.228;99.228;92.460;99.228;100.000;99.621;99.621;79.130;79.130;79.130;79.130;79.130;78.696;79.130;79.130;79.130;79.565;79.130;79.130;79.565;79.130;79.565;79.130;79.130;99.310;100.000;99.614;98.621;99.228;100.000;100.000;99.310;99.228;99.310;99.310;92.063;100.000;99.228;99.614;99.614;99.310;98.842;98.621;99.228;99.310;99.310;100.000;99.228;100.000;100.000;92.063;99.310;99.228;98.842;98.842;99.614;98.621;99.228;100.000;100.000;99.310;99.228;99.310;99.310;92.063;100.000;99.228;99.614;99.614;98.069;99.621;99.614;99.614;98.842;99.621;98.842;98.842;92.063;99.614;99.621;100.000;100.000;97.683;98.621;98.621;98.621;98.456;98.621;98.621;91.270;98.621;98.456;98.069;98.069;99.228;99.228;99.228;99.242;99.228;99.228;91.667;99.228;99.242;99.621;99.621;100.000;99.310;99.228;99.310;99.310;92.063;100.000;99.228;99.614;99.614;99.310;99.228;99.310;99.310;92.063;100.000;99.228;99.614;99.614;99.228;100.000;100.000;92.063;99.310;99.228;98.842;98.842;99.228;99.228;92.460;99.228;100.000;99.621;99.621;100.000;92.063;99.310;99.228;98.842;98.842;92.063;99.310;99.228;98.842;98.842;92.063;92.460;92.063;92.063;99.228;99.614;99.614;99.621;99.621;100.000	100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000
47	keratin, type I cytoskeletal 18-like	keratin, type I cytoskeletal 18-like	100.000;100.000;100.000;100.000;100.000;100.000	0	0	0	0	0	0
51	CDY1	chromodomain Y-linked 1B;testis-specific chromodomain protein Y 1-like;chromodomain Y-linked 2B;chromodomain Y-linked 1;chromodomain Y-linked 2A;chromodomain protein, Y-linked, 1;testis-specific chromodomain protein Y 1;testis-specific chromodomain protein Y 2;testis-specific chromodomain protein Y 2-like	100.000	99.060;98.891;99.060;99.812;99.826;99.812	97.932;97.932;100.000;100.000;97.932;97.932	0	98.336;99.512;92.857;98.170;97.556;98.003;94.847;93.609;92.669;98.003;100.000;95.113;98.293;93.045;99.834;97.368;97.671;95.229;93.797;92.857;97.671;98.336;95.489;94.500;98.293;98.005;98.293;95.165;94.500;94.250;98.293;99.512;95.511;93.045;92.754;93.421;91.794;97.826;99.819;93.421;92.857;92.210;97.368;97.504;95.229;93.797;92.857;97.504;98.170;95.489;99.248;94.275;93.116;92.572;99.248;97.556;94.022;94.656;93.797;93.233;100.000;98.003;94.925;91.985;91.603;94.656;94.847;99.044;98.007;93.797;93.609;92.754;93.233;98.003;94.925;92.669;92.391;95.113	92.679;92.180;93.344;100.000;95.122;100.000;92.845;87.391;87.391;92.346;97.782;91.514;92.679;92.346;93.344;92.013;97.782;97.556;93.511;92.679;93.511;100.000;95.507;98.003;92.679;96.951;92.679;99.334;88.261;88.261;99.667;93.346;97.504;100.000;98.336;98.003;95.341;93.346;93.609;98.170;100.000;98.170;92.679;95.507;92.180;95.732;92.180;94.842;86.087;86.087;95.175;92.606;94.509;95.507;95.341;95.507;99.833;92.606;92.857;95.674;95.507;95.674;92.180;93.344;96.341;93.344;97.338;88.261;88.261;97.671;93.530;96.839;98.003;97.671;100.000;95.341;93.530;93.797;99.834;98.003;99.834;93.344;95.122;100.000;92.845;87.391;87.391;92.346;97.782;91.514;92.679;92.346;93.344;92.013;97.782;97.556;93.511;92.679;93.511;100.000;95.122;96.951;96.667;96.667;96.341;95.122;93.902;96.951;96.951;96.341;95.732;95.122;95.484;96.951;96.951;96.951;95.122;92.845;87.391;87.391;92.346;97.782;91.514;92.679;92.346;93.344;92.013;97.782;97.556;93.511;92.679;93.511;100.000;88.261;88.261;99.002;93.530;96.839;99.334;97.671;97.338;94.676;93.530;93.797;97.504;99.334;97.504;92.845;100.000;87.826;85.882;86.957;88.261;86.957;88.261;86.087;85.294;85.294;88.261;88.261;88.261;87.391;87.826;85.882;86.957;88.261;86.957;88.261;86.087;85.294;85.294;88.261;88.261;88.261;87.391;93.161;97.171;99.667;98.003;97.671;95.008;93.161;93.421;97.837;99.667;97.837;92.346;92.421;93.346;93.346;93.530;92.421;99.261;99.060;93.715;93.346;93.715;97.782;97.504;99.168;96.839;94.343;92.421;92.669;97.005;97.504;97.005;91.514;98.336;98.003;95.341;93.346;93.609;98.170;100.000;98.170;92.679;97.671;95.175;93.346;93.609;97.837;98.336;97.837;92.346;95.341;93.530;93.797;99.834;98.003;99.834;93.344;92.421;92.669;95.507;95.341;95.507;92.013;99.812;93.715;93.346;93.715;97.782;93.985;93.609;93.985;97.556;98.170;100.000;93.511;98.170;92.679;93.511	100.000;99.820;99.820;99.820;99.820;99.820;99.820;100.000;100.000;100.000
52	BPY2B	basic charge Y-linked 2B;testis-specific basic protein Y 2;basic charge Y-linked 2C;basic charge Y-linked 2	100.000	100.000	100.000;100.000;100.000	100.000	0	0	0
53	DAZ2	deleted in azoospermia protein 1-like;deleted in azoospermia protein 3;deleted in azoospermia protein 3-like;deleted in azoospermia 2;deleted in azoospermia protein 2;deleted in azoospermia 1;deleted in azoospermia 4;deleted in azoospermia protein 4-like;deleted in azoospermia protein 1;deleted in azoospermia 3	96.078	93.147;89.717;99.813;76.262;89.831;94.766	92.677;98.188;96.382;96.837;95.388;80.858	95.802	87.637;86.154;87.886;81.928;82.109;76.327;86.225;88.212;94.040;90.646;88.682;90.233;96.279;84.295;96.434;96.279;88.682;87.419;87.419;80.388;82.561;86.117;87.636;87.419;87.108;90.382;80.438;79.030;81.060;92.729;87.653;81.735;87.737;88.369;86.396;88.106;90.116;92.169;90.382;90.297;88.106;80.438;97.561;84.634;86.795	78.208;75.706;99.904;98.243;69.123;78.450;78.208;75.706;85.144;98.243	100.000
