id	gene_symbol	Description(s)	PanPan	PanTro	HomSap	GorGor	PonPyg	PonAbe	SymSyn
6	CSF2RA	granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like;colony stimulating factor 2 receptor subunit alpha;granulocyte-macrophage colony-stimulating factor receptor subunit alpha	0	0	0	0	0	0	97.000
8	SLC25A5	solute carrier family 25 member 5;solute carrier family 25 member 6	92.905	92.905	92.568	92.905	92.905	92.230	91.892
20	ARSF	arylsulfatase L;arylsulfatase F;arylsulfatase D;steroid sulfatase;arylsulfatase family member H	52.613;59.855;60.484;59.066;51.712;49.634;48.741;63.750;59.532;59.619	59.173;58.887;59.792;48.561;59.855;63.393;51.351;63.542;52.236;48.663	49.267;51.872;52.338;48.829;63.542;64.821;59.445;60.759;59.066;60.252	56.607;52.984;51.706;47.302;63.715;59.272;49.451;57.612;51.872;48.288	64.539;63.058;59.391;48.551;61.121;61.151;51.449;58.131;52.415;49.730	65.187;63.715;49.084;60.171;61.121;51.449;61.151;52.793;58.131;49.730	48.759;49.308;51.812;53.393;61.111;65.542;63.368;60.791;58.887;61.121
21	SPANXN5	SPANX family, member N5;SPANX family member B1;SPANX family member D;SPANX family member C;sperm protein associated with the nucleus on the X chromosome N2;sperm protein associated with the nucleus on the X chromosome N1-like;sperm protein associated with the nucleus on the X chromosome N1;SPANX family member N1;SPANX family member N2;sperm protein associated with the nucleus on the X chromosome A-like;sperm protein associated with the nucleus on the X chromosome N2-like;sperm protein associated with the nucleus on the X chromosome N3;sperm protein associated with the nucleus on the X chromosome N5;SPANX family, member N3;SPANX family member N5;SPANX A/D member 3;SPANX A/D member 2;sperm protein associated with the nucleus on the X chromosome N5-like;SPANX family member N4;SPANX family member A2;SPANX A/D member 1;SPANX family member N3;sperm protein associated with the nucleus on the X chromosome C;sperm protein associated with the nucleus, X-linked, family member A1;sperm protein associated with the nucleus on the X chromosome C-like;sperm protein associated with the nucleus on the X chromosome N4;protein TsetseEP-like;sperm protein associated with the nucleus on the X chromosome A;SPANX-N2	35.294;35.294;35.294;41.860;35.294;50.000;35.294;35.294;36.471;35.294;68.493;35.294;36.471;41.860;35.294;35.294;35.294;75.806;35.294;35.294;35.294;76.613;68.493;35.294;35.294;35.294;35.294;41.860;34.118;35.294;35.294;35.294;98.182;99.091;57.895;98.182;100.000;98.182;99.091;98.182;47.143;100.000;99.091;61.053;100.000;100.000;100.000;35.238;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;97.273;58.947;100.000;98.182;100.000;99.091;100.000;47.143;98.182;99.091;61.053;98.182;98.182;98.182;35.238;98.182;98.182;98.182;44.444;47.143;98.182;100.000;98.182;98.182;60.000;99.091;98.182;98.182;98.182;58.947;97.273;99.091;97.273;98.182;97.273;47.143;99.091;98.182;62.105;99.091;99.091;99.091;36.190;99.091;99.091;99.091;45.455;47.143;99.091;97.273;99.091;99.091;61.053;98.182;99.091;99.091;99.091;58.947;57.895;58.947;58.947;58.947;51.471;57.895;58.947;96.907;57.895;57.895;57.895;36.782;57.895;57.895;57.895;48.235;51.471;57.895;58.947;57.895;57.895;95.876;57.895;57.895;57.895;57.895;98.182;100.000;99.091;100.000;47.143;98.182;99.091;61.053;98.182;98.182;98.182;35.238;98.182;98.182;98.182;44.444;47.143;98.182;100.000;98.182;98.182;60.000;99.091;98.182;98.182;98.182;48.611;50.526;49.474;48.611;98.182;99.091;98.182;47.143;100.000;99.091;61.053;100.000;100.000;100.000;35.238;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;99.091;100.000;47.143;98.182;99.091;61.053;98.182;98.182;98.182;35.238;98.182;98.182;98.182;44.444;47.143;98.182;100.000;98.182;98.182;60.000;99.091;98.182;98.182;98.182;99.091;47.143;99.091;100.000;62.105;99.091;99.091;99.091;36.190;99.091;99.091;99.091;45.455;47.143;99.091;99.091;99.091;99.091;61.053;98.182;99.091;99.091;99.091;47.143;98.182;99.091;61.053;98.182;98.182;98.182;35.238;98.182;98.182;98.182;44.444;47.143;98.182;100.000;98.182;98.182;60.000;99.091;98.182;98.182;98.182;47.143;47.143;51.471;47.143;47.143;47.143;73.611;47.143;47.143;47.143;87.500;100.000;47.143;47.143;47.143;47.143;51.471;47.143;47.143;47.143;47.143;99.091;61.053;100.000;100.000;100.000;35.238;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;62.105;99.091;99.091;99.091;36.190;99.091;99.091;99.091;45.455;47.143;99.091;99.091;99.091;99.091;61.053;98.182;99.091;99.091;99.091;61.224;61.053;61.224;39.080;61.224;61.224;61.053;49.412;51.471;61.224;61.053;61.053;61.224;98.969;60.000;61.224;61.224;61.224;100.000;100.000;35.238;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;100.000;35.238;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;35.238;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;35.238;35.238;35.238;73.228;73.611;35.238;35.238;35.238;35.238;39.080;34.286;35.238;35.238;35.238;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;44.444;47.143;100.000;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;87.500;44.444;44.444;44.444;44.444;49.412;43.434;44.444;44.444;44.444;47.143;47.143;47.143;47.143;51.471;47.143;47.143;47.143;47.143;98.182;100.000;100.000;60.000;99.091;100.000;100.000;100.000;98.182;98.182;60.000;99.091;98.182;98.182;98.182;100.000;60.000;99.091;100.000;100.000;100.000;60.000;99.091;100.000;100.000;100.000;58.947;60.000;60.000;60.000;99.091;99.091;99.091;100.000;100.000;100.000	36.471;68.493;40.698;64.122;40.698;76.577;43.023;74.775;46.087;36.471;48.571;63.158;48.810;63.158;47.475;62.105;37.143;99.091;50.000;100.000;50.000;87.500;52.941;73.611;50.000;48.571;50.649;100.000;48.235;96.907;37.931;63.158;50.649;77.857;53.247;64.375;47.674;47.674;48.235;96.907;37.931;63.158;50.588;74.016;50.526;47.475;40.230;29.474;62.105;50.526;37.624	52.475;49.505;50.000;47.222;36.145;80.682;39.506;44.595;80.682;76.136;73.864;43.243;39.080;78.676;72.603;39.080;37.931;36.782;69.863;43.023;48.529;100.000;93.814;93.814;50.000;72.603;43.023;41.860;40.698;69.863;48.529;44.118;44.118;86.111;93.814;93.814;50.000;97.938;45.588;45.588	46.914;45.238;58.519;44.048;48.837;48.837;45.238;64.035;46.465;45.238;46.914;47.674;81.148;46.914;48.837;47.674;80.808;42.188;89.899;87.629;88.660;80.808;40.000;80.808;100.000;86.598;44.048;100.000;88.660;86.598;37.879;97.980;70.707;71.717;100.000;38.806;100.000;80.808;69.697;43.678;80.808;71.717;69.697;37.879;42.424;43.750;37.879;73.196;47.143;37.879;42.188;42.424;69.072;42.188;43.750;42.424;78.788;79.798;97.980;37.313;97.980;89.899;77.778;42.529;89.899;79.798;77.778;98.969;70.707;44.615;70.707;87.629;98.969;47.191;87.629;98.969;98.969;71.717;44.615;71.717;88.660;97.938;47.191;88.660;100.000;97.938;38.806;100.000;80.808;69.697;43.678;80.808;71.717;69.697;41.304;38.806;40.000;44.615;74.561;40.000;44.615;44.615;48.515;80.808;69.697;43.678;80.808;71.717;69.697;86.598;44.048;100.000;88.660;86.598;46.067;86.598;97.938;100.000;44.048;47.191;46.067;88.660;86.598;97.938	38.136;40.476;68.421;45.882;29.592;40.179;42.063;39.831;61.268;38.462;73.196;49.474;76.471;63.380;63.704;42.105;84.615;49.425;59.868;97.500;89.933;46.154;26.415;36.667;43.956;41.053;48.485;74.194;86.154;76.923;53.061;49.425;43.617;64.706;65.891;91.875	44.706;73.864;76.344;75.000;69.118;53.488;69.118;69.892;48.077;36.905;43.966;40.909;44.828;46.753;29.670;47.887;42.342;59.067;72.642;61.268;98.750;84.615;50.000;83.846;90.000;45.455;40.659;61.972;69.388;48.421;71.429;62.500;47.887;37.363;86.154;50.000;83.846;91.333;46.753;41.758;50.000;96.907;77.863;46.753;44.231;50.000;42.553;40.000;27.778;75.573;47.887;44.231;43.056;38.043;68.919	44.828;44.828;52.632;50.000;43.678;47.368;100.000;62.105;67.901;91.753;60.825;62.105;67.901;91.753;60.825;64.348;61.053;72.358;68.421;69.388;61.386
23	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX;anoctamin-8-like;protein kinase cAMP-dependent X-linked catalytic subunit;transducin beta like 1 X-linked;uncharacterized LOC129475347;protein kinase X-linked;cAMP-dependent protein kinase catalytic subunit PRKX-like	0	0	0	0	97.854;97.854;100.000;99.670;99.813	97.854;99.670	46.903;93.281;47.826
24	NLGN4X	neuroligin 4 X-linked;neuroligin 3;neuroligin-4, X-linked	71.360	72.443	72.563	71.360	71.360	72.443	71.667
25	VCX2	testis-specific basic protein Y 1-like;variable charge X-linked 2;variable charge X-linked;variable charge X-linked protein 3-like;variable charge X-linked protein 1;variable charge X-linked 3B;variable charge X-linked protein 3;variable charge X-linked protein 2;variable charge X-linked protein 1-like;variable charge X-linked 3A;variable charge X-linked protein 2-like;testis-specific basic protein Y 1	100.000;100.000;100.000;93.373;100.000;100.000;100.000;86.029;100.000;86.029;100.000;100.000;86.029;100.000;99.342;100.000;100.000;93.373;100.000;100.000;100.000;86.029;100.000;86.029;100.000;100.000;86.029;100.000;99.342;100.000;93.373;100.000;100.000;100.000;86.029;100.000;86.029;100.000;100.000;86.029;100.000;99.342;93.373;100.000;100.000;100.000;86.029;100.000;86.029;100.000;100.000;86.029;100.000;99.342;93.373;93.373;93.373;84.892;93.373;84.892;93.373;93.373;84.892;93.373;92.045;100.000;100.000;86.029;100.000;86.029;100.000;100.000;86.029;100.000;99.342;100.000;86.029;100.000;86.029;100.000;100.000;86.029;100.000;99.342;86.029;100.000;86.029;100.000;100.000;86.029;100.000;99.342;86.029;100.000;86.029;86.029;100.000;86.029;84.173;86.029;100.000;100.000;86.029;100.000;99.342;86.029;86.029;100.000;86.029;84.173;100.000;86.029;100.000;99.342;86.029;100.000;99.342;86.029;84.173;99.342	83.453;100.000;85.294;82.014;83.453;86.029;86.029;83.453;86.765;83.453;83.453;92.771;92.771;100.000;99.359;93.373;93.976;92.771;93.976;85.294;82.014;83.453;86.029;86.029;83.453;86.765;83.453;96.988;92.771;93.373;98.795;96.988;97.590;98.193;92.771;92.169;98.193;97.590;95.783;98.795;99.359;93.976;93.373;93.373;93.373;93.373;98.193;97.590;99.398;93.976;95.783;98.795;92.771;96.988;93.976	97.642;89.209;93.981;95.050;89.209;88.489	94.326;94.483;72.491;89.441;77.515;79.888	97.656;99.219;97.391;96.094;96.094;98.438;99.130;96.875;96.875;98.261;96.875;96.875;96.522;96.522;95.312	97.279;98.261;95.652;99.130;96.875;94.531;97.656;94.531;99.219;95.312	90.179;88.235;90.179;87.255;87.255;87.255;87.255;95.556;97.778;94.815;94.815;94.815;94.815;97.778;99.259;99.259;99.259;99.259;97.037;97.037;97.037;97.037;100.000;100.000;100.000;100.000;100.000;100.000
29	FAM9C	family with sequence similarity 9 member B;family with sequence similarity 9 member C;family with sequence similarity 9 member A	64.881;61.644;64.780	65.541;62.329;66.129	46.442;64.189;61.006	64.286;60.479;57.047	64.458;62.329;62.722	62.329;68.548;64.865	46.690;62.329;62.893
35	CLCN4	chloride voltage-gated channel 5;chloride voltage-gated channel 4	77.441	77.441	77.441	77.309	77.441	77.441	77.045
36	MID1	midline 1;midline 2	72.950	72.950	72.950	72.662	73.094	73.094	72.806
