id	gene_symbol	Description(s)	PanPan	PanTro	HomSap	GorGor	PonPyg	PonAbe	SymSyn
6	CSF2RA	granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like;colony stimulating factor 2 receptor subunit alpha;granulocyte-macrophage colony-stimulating factor receptor subunit alpha	1	1	1	1	1	1	2
8	SLC25A5	solute carrier family 25 member 5;solute carrier family 25 member 6	2	2	2	2	2	2	2
20	ARSF	arylsulfatase L;arylsulfatase F;arylsulfatase D;steroid sulfatase;arylsulfatase family member H	5	5	5	5	5	5	5
21	SPANXN5	SPANX family, member N5;SPANX family member B1;SPANX family member D;SPANX family member C;sperm protein associated with the nucleus on the X chromosome N2;sperm protein associated with the nucleus on the X chromosome N1-like;sperm protein associated with the nucleus on the X chromosome N1;SPANX family member N1;SPANX family member N2;sperm protein associated with the nucleus on the X chromosome A-like;sperm protein associated with the nucleus on the X chromosome N2-like;sperm protein associated with the nucleus on the X chromosome N3;sperm protein associated with the nucleus on the X chromosome N5;SPANX family, member N3;SPANX family member N5;SPANX A/D member 3;SPANX A/D member 2;sperm protein associated with the nucleus on the X chromosome N5-like;SPANX family member N4;SPANX family member A2;SPANX A/D member 1;SPANX family member N3;sperm protein associated with the nucleus on the X chromosome C;sperm protein associated with the nucleus, X-linked, family member A1;sperm protein associated with the nucleus on the X chromosome C-like;sperm protein associated with the nucleus on the X chromosome N4;protein TsetseEP-like;sperm protein associated with the nucleus on the X chromosome A;SPANX-N2	33	11	10	17	9	11	7
23	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX;anoctamin-8-like;protein kinase cAMP-dependent X-linked catalytic subunit;transducin beta like 1 X-linked;uncharacterized LOC129475347;protein kinase X-linked;cAMP-dependent protein kinase catalytic subunit PRKX-like	2	2	2	2	4	3	4
24	NLGN4X	neuroligin 4 X-linked;neuroligin 3;neuroligin-4, X-linked	2	2	2	2	2	2	2
25	VCX2	testis-specific basic protein Y 1-like;variable charge X-linked 2;variable charge X-linked;variable charge X-linked protein 3-like;variable charge X-linked protein 1;variable charge X-linked 3B;variable charge X-linked protein 3;variable charge X-linked protein 2;variable charge X-linked protein 1-like;variable charge X-linked 3A;variable charge X-linked protein 2-like;testis-specific basic protein Y 1	16	11	4	4	6	5	8
29	FAM9C	family with sequence similarity 9 member B;family with sequence similarity 9 member C;family with sequence similarity 9 member A	3	3	3	3	3	3	3
35	CLCN4	chloride voltage-gated channel 5;chloride voltage-gated channel 4	2	2	2	2	2	2	2
36	MID1	midline 1;midline 2	2	2	2	2	2	2	2
