original	renamed	species	order	gc	identity	armlength	spacerlength	spacer_renamed	spacergc
mGorGor1.chrX.Q1.1A	mGorGor1.palindromeSeq.chrX.part-1.fa	mGorGor1	1	0.43	99.2	57441	222488	mGorGor1.spacerSeq.chrX.part-1.fa	0.42
mGorGor1.chrX.Q1.2A	mGorGor1.palindromeSeq.chrX.part-3.fa	mGorGor1	3	0.43	99.2	57441	471351	mGorGor1.spacerSeq.chrX.part-2.fa	0.43
mGorGor1.chrX.Q2.1A	mGorGor1.palindromeSeq.chrX.part-5.fa	mGorGor1	5	0.41	98.6	10405	190551	mGorGor1.spacerSeq.chrX.part-3.fa	0.43
mGorGor1.chrX.Q2.2A	mGorGor1.palindromeSeq.chrX.part-7.fa	mGorGor1	7	0.41	98.6	10405	439372	mGorGor1.spacerSeq.chrX.part-4.fa	0.43
mGorGor1.chrX.Q2.3A	mGorGor1.palindromeSeq.chrX.part-9.fa	mGorGor1	9	0.39	98	41029	107923	mGorGor1.spacerSeq.chrX.part-5.fa	0.46
mGorGor1.chrX.Q2.4A	mGorGor1.palindromeSeq.chrX.part-11.fa	mGorGor1	11	0.39	97.9	41029	356723	mGorGor1.spacerSeq.chrX.part-6.fa	0.44
mGorGor1.chrX.Q3A	mGorGor1.palindromeSeq.chrX.part-13.fa	mGorGor1	13	0.44	99.8	29157	2798	mGorGor1.spacerSeq.chrX.part-7.fa	0.41
mGorGor1.chrX.Q4A	mGorGor1.palindromeSeq.chrX.part-15.fa	mGorGor1	15	0.44	99.9	27109	7338	mGorGor1.spacerSeq.chrX.part-8.fa	0.44
mGorGor1.chrX.Q5A	mGorGor1.palindromeSeq.chrX.part-17.fa	mGorGor1	17	0.47	99.9	36319	88425	mGorGor1.spacerSeq.chrX.part-9.fa	0.4
mGorGor1.chrX.Q6A	mGorGor1.palindromeSeq.chrX.part-19.fa	mGorGor1	19	0.44	99.9	39369	8303	mGorGor1.spacerSeq.chrX.part-10.fa	0.44
mGorGor1.chrX.Q7A	mGorGor1.palindromeSeq.chrX.part-21.fa	mGorGor1	21	0.44	99.5	53620	2793	mGorGor1.spacerSeq.chrX.part-11.fa	0.41
mGorGor1.chrX.Q8A	mGorGor1.palindromeSeq.chrX.part-23.fa	mGorGor1	23	0.49	100	35159	14566	mGorGor1.spacerSeq.chrX.part-12.fa	0.45
mGorGor1.chrX.Q9A	mGorGor1.palindromeSeq.chrX.part-25.fa	mGorGor1	25	0.44	99.9	28594	10678	mGorGor1.spacerSeq.chrX.part-13.fa	0.44
mGorGor1.chrX.Q10.1A	mGorGor1.palindromeSeq.chrX.part-27.fa	mGorGor1	27	0.37	99.8	18789	94565	mGorGor1.spacerSeq.chrX.part-14.fa	0.39
mGorGor1.chrX.Q10.2A	mGorGor1.palindromeSeq.chrX.part-29.fa	mGorGor1	29	0.39	100	44591	5617	mGorGor1.spacerSeq.chrX.part-15.fa	0.42
mGorGor1.chrX.Q11A	mGorGor1.palindromeSeq.chrX.part-31.fa	mGorGor1	31	0.44	99.8	121361	904	mGorGor1.spacerSeq.chrX.part-16.fa	0.52
mGorGor1.chrX.Q12A	mGorGor1.palindromeSeq.chrX.part-33.fa	mGorGor1	33	0.5	99.7	9462	74560	mGorGor1.spacerSeq.chrX.part-17.fa	0.4
mGorGor1.chrX.Q13A	mGorGor1.palindromeSeq.chrX.part-35.fa	mGorGor1	35	0.42	99.9	139626	10856	mGorGor1.spacerSeq.chrX.part-18.fa	0.41
mGorGor1.chrX.Q14A	mGorGor1.palindromeSeq.chrX.part-37.fa	mGorGor1	37	0.41	99.9	10750	11666	mGorGor1.spacerSeq.chrX.part-19.fa	0.37
mGorGor1.chrX.Q15A	mGorGor1.palindromeSeq.chrX.part-39.fa	mGorGor1	39	0.44	99.9	47558	66415	mGorGor1.spacerSeq.chrX.part-20.fa	0.42
mGorGor1.chrX.Q16A	mGorGor1.palindromeSeq.chrX.part-41.fa	mGorGor1	41	0.43	98.4	49101	42093	mGorGor1.spacerSeq.chrX.part-21.fa	0.41
mGorGor1.chrX.Q17A	mGorGor1.palindromeSeq.chrX.part-43.fa	mGorGor1	43	0.43	99.8	10724	43663	mGorGor1.spacerSeq.chrX.part-22.fa	0.42
mGorGor1.chrX.Q18.1A	mGorGor1.palindromeSeq.chrX.part-45.fa	mGorGor1	45	0.42	99.3	34372	13915	mGorGor1.spacerSeq.chrX.part-23.fa	0.42
mGorGor1.chrX.Q18.2A	mGorGor1.palindromeSeq.chrX.part-47.fa	mGorGor1	47	0.43	97.6	11347	48590	mGorGor1.spacerSeq.chrX.part-24.fa	0.42
mGorGor1.chrX.Q19.1A	mGorGor1.palindromeSeq.chrX.part-49.fa	mGorGor1	49	0.42	99.8	11211	3937	mGorGor1.spacerSeq.chrX.part-25.fa	0.35
mGorGor1.chrX.Q19.2A	mGorGor1.palindromeSeq.chrX.part-51.fa	mGorGor1	51	0.4	99.6	106688	340755	mGorGor1.spacerSeq.chrX.part-26.fa	0.38
mGorGor1.chrX.Q19.3A	mGorGor1.palindromeSeq.chrX.part-53.fa	mGorGor1	53	0.41	99.8	12760	3940	mGorGor1.spacerSeq.chrX.part-27.fa	0.35
mGorGor1.chrX.Q19.4A	mGorGor1.palindromeSeq.chrX.part-55.fa	mGorGor1	55	0.41	98.9	14227	84624	mGorGor1.spacerSeq.chrX.part-28.fa	0.38
mGorGor1.chrX.Q20A	mGorGor1.palindromeSeq.chrX.part-57.fa	mGorGor1	57	0.4	97	8632	267440	mGorGor1.spacerSeq.chrX.part-29.fa	0.38
mGorGor1.chrX.Q21A	mGorGor1.palindromeSeq.chrX.part-59.fa	mGorGor1	59	0.35	99.6	21755	10160	mGorGor1.spacerSeq.chrX.part-30.fa	0.39
mGorGor1.chrX.Q22A	mGorGor1.palindromeSeq.chrX.part-61.fa	mGorGor1	61	0.52	99.9	30658	413754	mGorGor1.spacerSeq.chrX.part-31.fa	0.43
mGorGor1.chrX.Q23A	mGorGor1.palindromeSeq.chrX.part-63.fa	mGorGor1	63	0.45	99.6	81896	171980	mGorGor1.spacerSeq.chrX.part-32.fa	0.43
mGorGor1.chrX.Q24A	mGorGor1.palindromeSeq.chrX.part-65.fa	mGorGor1	65	0.43	99.3	34156	36498	mGorGor1.spacerSeq.chrX.part-33.fa	0.43
mGorGor1.chrX.Q25A	mGorGor1.palindromeSeq.chrX.part-67.fa	mGorGor1	67	0.47	100	44398	17029	mGorGor1.spacerSeq.chrX.part-34.fa	0.45
mGorGor1.chrX.Q26A	mGorGor1.palindromeSeq.chrX.part-69.fa	mGorGor1	69	0.62	100	8470	1212	mGorGor1.spacerSeq.chrX.part-35.fa	0.62
mGorGor1.chrX.Q27A	mGorGor1.palindromeSeq.chrX.part-71.fa	mGorGor1	71	0.49	99.8	46521	100683	mGorGor1.spacerSeq.chrX.part-36.fa	0.41
mGorGor1.chrX.Q28A	mGorGor1.palindromeSeq.chrX.part-73.fa	mGorGor1	73	0.6	99.9	11533	37726	mGorGor1.spacerSeq.chrX.part-37.fa	0.61
mGorGor1.chrX.Q29A	mGorGor1.palindromeSeq.chrX.part-75.fa	mGorGor1	75	0.53	99.8	34091	18817	mGorGor1.spacerSeq.chrX.part-38.fa	0.48
mGorGor1.chrX.Q30A	mGorGor1.palindromeSeq.chrX.part-77.fa	mGorGor1	77	0.41	99.9	51607	57075	mGorGor1.spacerSeq.chrX.part-39.fa	0.39
mPanPan1.chrX.Q1.1A	mPanPan1.palindromeSeq.chrX.part-1.fa	mPanPan1	1	0.37	97.2	10956	413225	mPanPan1.spacerSeq.chrX.part-1.fa	0.38
mPanPan1.chrX.Q1.2A	mPanPan1.palindromeSeq.chrX.part-3.fa	mPanPan1	3	0.37	97.2	10945	364993	mPanPan1.spacerSeq.chrX.part-2.fa	0.38
mPanPan1.chrX.Q1.3A	mPanPan1.palindromeSeq.chrX.part-5.fa	mPanPan1	5	0.37	97.2	10953	317403	mPanPan1.spacerSeq.chrX.part-3.fa	0.38
mPanPan1.chrX.Q2A	mPanPan1.palindromeSeq.chrX.part-7.fa	mPanPan1	7	0.43	99.7	18643	233709	mPanPan1.spacerSeq.chrX.part-4.fa	0.38
mPanPan1.chrX.Q3A	mPanPan1.palindromeSeq.chrX.part-9.fa	mPanPan1	9	0.44	99.7	29201	2796	mPanPan1.spacerSeq.chrX.part-5.fa	0.41
mPanPan1.chrX.Q4A	mPanPan1.palindromeSeq.chrX.part-11.fa	mPanPan1	11	0.43	99.5	25572	7404	mPanPan1.spacerSeq.chrX.part-6.fa	0.44
mPanPan1.chrX.Q5A	mPanPan1.palindromeSeq.chrX.part-13.fa	mPanPan1	13	0.47	99.8	36362	99897	mPanPan1.spacerSeq.chrX.part-7.fa	0.39
mPanPan1.chrX.Q6A	mPanPan1.palindromeSeq.chrX.part-15.fa	mPanPan1	15	0.45	99.9	30067	1241	mPanPan1.spacerSeq.chrX.part-8.fa	0.45
mPanPan1.chrX.Q7A	mPanPan1.palindromeSeq.chrX.part-17.fa	mPanPan1	17	0.43	99.9	105398	2791	mPanPan1.spacerSeq.chrX.part-9.fa	0.41
mPanPan1.chrX.Q8A	mPanPan1.palindromeSeq.chrX.part-19.fa	mPanPan1	19	0.49	99.7	35193	14632	mPanPan1.spacerSeq.chrX.part-10.fa	0.45
mPanPan1.chrX.Q9A	mPanPan1.palindromeSeq.chrX.part-21.fa	mPanPan1	21	0.44	99.9	28640	10672	mPanPan1.spacerSeq.chrX.part-11.fa	0.44
mPanPan1.chrX.Q10A	mPanPan1.palindromeSeq.chrX.part-23.fa	mPanPan1	23	0.39	99.6	56663	5567	mPanPan1.spacerSeq.chrX.part-12.fa	0.42
mPanPan1.chrX.Q11A	mPanPan1.palindromeSeq.chrX.part-25.fa	mPanPan1	25	0.46	99.8	57283	2788	mPanPan1.spacerSeq.chrX.part-13.fa	0.14
mPanPan1.chrX.Q12.1A	mPanPan1.palindromeSeq.chrX.part-27.fa	mPanPan1	27	0.4	99.6	13353	210694	mPanPan1.spacerSeq.chrX.part-14.fa	0.44
mPanPan1.chrX.Q12.2A	mPanPan1.palindromeSeq.chrX.part-29.fa	mPanPan1	29	0.43	99.9	105026	1087	mPanPan1.spacerSeq.chrX.part-15.fa	0.53
mPanPan1.chrX.Q13A	mPanPan1.palindromeSeq.chrX.part-31.fa	mPanPan1	31	0.5	99.6	9509	69414	mPanPan1.spacerSeq.chrX.part-16.fa	0.4
mPanPan1.chrX.Q14A	mPanPan1.palindromeSeq.chrX.part-33.fa	mPanPan1	33	0.42	99.9	146142	5742	mPanPan1.spacerSeq.chrX.part-17.fa	0.44
mPanPan1.chrX.Q15A	mPanPan1.palindromeSeq.chrX.part-35.fa	mPanPan1	35	0.41	99.9	10732	11695	mPanPan1.spacerSeq.chrX.part-18.fa	0.37
mPanPan1.chrX.Q16.1A	mPanPan1.palindromeSeq.chrX.part-37.fa	mPanPan1	37	0.43	99.8	25680	248968	mPanPan1.spacerSeq.chrX.part-19.fa	0.44
mPanPan1.chrX.Q16.2A	mPanPan1.palindromeSeq.chrX.part-39.fa	mPanPan1	39	0.43	99.9	25644	182500	mPanPan1.spacerSeq.chrX.part-20.fa	0.44
mPanPan1.chrX.Q16.3A	mPanPan1.palindromeSeq.chrX.part-41.fa	mPanPan1	41	0.44	99.8	17345	147877	mPanPan1.spacerSeq.chrX.part-21.fa	0.44
mPanPan1.chrX.Q16.4A	mPanPan1.palindromeSeq.chrX.part-43.fa	mPanPan1	43	0.44	99.8	17345	214383	mPanPan1.spacerSeq.chrX.part-22.fa	0.44
mPanPan1.chrX.Q16.5A	mPanPan1.palindromeSeq.chrX.part-45.fa	mPanPan1	45	0.44	99.8	49432	115198	mPanPan1.spacerSeq.chrX.part-23.fa	0.44
mPanPan1.chrX.Q16.6A	mPanPan1.palindromeSeq.chrX.part-47.fa	mPanPan1	47	0.43	99.7	54610	157358	mPanPan1.spacerSeq.chrX.part-24.fa	0.44
mPanPan1.chrX.Q16.7A	mPanPan1.palindromeSeq.chrX.part-49.fa	mPanPan1	49	0.42	99.8	12219	90852	mPanPan1.spacerSeq.chrX.part-25.fa	0.44
mPanPan1.chrX.Q17A	mPanPan1.palindromeSeq.chrX.part-51.fa	mPanPan1	51	0.43	98.4	49382	42129	mPanPan1.spacerSeq.chrX.part-26.fa	0.41
mPanPan1.chrX.Q18A	mPanPan1.palindromeSeq.chrX.part-53.fa	mPanPan1	53	0.42	99.5	97530	14149	mPanPan1.spacerSeq.chrX.part-27.fa	0.43
mPanPan1.chrX.Q19.1A	mPanPan1.palindromeSeq.chrX.part-55.fa	mPanPan1	55	0.39	99.5	72882	382422	mPanPan1.spacerSeq.chrX.part-28.fa	0.38
mPanPan1.chrX.Q19.2A	mPanPan1.palindromeSeq.chrX.part-57.fa	mPanPan1	57	0.39	99.2	18934	328622	mPanPan1.spacerSeq.chrX.part-29.fa	0.38
mPanPan1.chrX.Q20A	mPanPan1.palindromeSeq.chrX.part-59.fa	mPanPan1	59	0.39	97.4	8076	84040	mPanPan1.spacerSeq.chrX.part-30.fa	0.38
mPanPan1.chrX.Q21A	mPanPan1.palindromeSeq.chrX.part-61.fa	mPanPan1	61	0.35	100	23511	708	mPanPan1.spacerSeq.chrX.part-31.fa	0.32
mPanPan1.chrX.Q22.1A	mPanPan1.palindromeSeq.chrX.part-63.fa	mPanPan1	63	0.42	99.4	124113	494693	mPanPan1.spacerSeq.chrX.part-32.fa	0.48
mPanPan1.chrX.Q22.2A	mPanPan1.palindromeSeq.chrX.part-65.fa	mPanPan1	65	0.47	99.7	20183	378816	mPanPan1.spacerSeq.chrX.part-33.fa	0.46
mPanPan1.chrX.Q22.3A	mPanPan1.palindromeSeq.chrX.part-67.fa	mPanPan1	67	0.43	99.5	134524	262864	mPanPan1.spacerSeq.chrX.part-34.fa	0.49
mPanPan1.chrX.Q22.4A	mPanPan1.palindromeSeq.chrX.part-69.fa	mPanPan1	69	0.43	99.5	111883	493824	mPanPan1.spacerSeq.chrX.part-35.fa	0.48
mPanPan1.chrX.Q22.5A	mPanPan1.palindromeSeq.chrX.part-71.fa	mPanPan1	71	0.47	99.7	19698	168770	mPanPan1.spacerSeq.chrX.part-36.fa	0.45
mPanPan1.chrX.Q23A	mPanPan1.palindromeSeq.chrX.part-73.fa	mPanPan1	73	0.43	98.9	21370	49586	mPanPan1.spacerSeq.chrX.part-37.fa	0.43
mPanPan1.chrX.Q24A	mPanPan1.palindromeSeq.chrX.part-75.fa	mPanPan1	75	0.45	99.4	38395	18226	mPanPan1.spacerSeq.chrX.part-38.fa	0.45
mPanPan1.chrX.Q25.1A	mPanPan1.palindromeSeq.chrX.part-77.fa	mPanPan1	77	0.59	100	9934	1195	mPanPan1.spacerSeq.chrX.part-39.fa	0.61
mPanPan1.chrX.Q25.2A	mPanPan1.palindromeSeq.chrX.part-79.fa	mPanPan1	79	0.49	99.5	37885	107085	mPanPan1.spacerSeq.chrX.part-40.fa	0.41
mPanPan1.chrX.Q26A	mPanPan1.palindromeSeq.chrX.part-81.fa	mPanPan1	81	0.6	99.8	11293	37429	mPanPan1.spacerSeq.chrX.part-41.fa	0.61
mPanPan1.chrX.Q27A	mPanPan1.palindromeSeq.chrX.part-83.fa	mPanPan1	83	0.53	99.9	35692	21767	mPanPan1.spacerSeq.chrX.part-42.fa	0.47
mPanPan1.chrX.Q28A	mPanPan1.palindromeSeq.chrX.part-85.fa	mPanPan1	85	0.41	99.9	50295	66385	mPanPan1.spacerSeq.chrX.part-43.fa	0.39
mPanTro3.chrX.Q1.1A	mPanTro3.palindromeSeq.chrX.part-1.fa	mPanTro3	1	0.37	97.2	10801	364340	mPanTro3.spacerSeq.chrX.part-1.fa	0.38
mPanTro3.chrX.Q1.2A	mPanTro3.palindromeSeq.chrX.part-3.fa	mPanTro3	3	0.37	97.5	10811	317194	mPanTro3.spacerSeq.chrX.part-2.fa	0.38
mPanTro3.chrX.Q2A	mPanTro3.palindromeSeq.chrX.part-5.fa	mPanTro3	5	0.44	99.7	29207	2796	mPanTro3.spacerSeq.chrX.part-3.fa	0.41
mPanTro3.chrX.Q3A	mPanTro3.palindromeSeq.chrX.part-7.fa	mPanTro3	7	0.43	99.6	24644	10552	mPanTro3.spacerSeq.chrX.part-4.fa	0.38
mPanTro3.chrX.Q4A	mPanTro3.palindromeSeq.chrX.part-9.fa	mPanTro3	9	0.47	99.7	36339	99825	mPanTro3.spacerSeq.chrX.part-5.fa	0.39
mPanTro3.chrX.Q5A	mPanTro3.palindromeSeq.chrX.part-11.fa	mPanTro3	11	0.45	99.9	30172	1244	mPanTro3.spacerSeq.chrX.part-6.fa	0.45
mPanTro3.chrX.Q6A	mPanTro3.palindromeSeq.chrX.part-13.fa	mPanTro3	13	0.43	100	105414	1402	mPanTro3.spacerSeq.chrX.part-7.fa	0.44
mPanTro3.chrX.Q7A	mPanTro3.palindromeSeq.chrX.part-15.fa	mPanTro3	15	0.49	99.7	35203	14687	mPanTro3.spacerSeq.chrX.part-8.fa	0.45
mPanTro3.chrX.Q8A	mPanTro3.palindromeSeq.chrX.part-17.fa	mPanTro3	17	0.44	99.9	28685	10668	mPanTro3.spacerSeq.chrX.part-9.fa	0.44
mPanTro3.chrX.Q9A	mPanTro3.palindromeSeq.chrX.part-19.fa	mPanTro3	19	0.39	99.6	56801	5590	mPanTro3.spacerSeq.chrX.part-10.fa	0.42
mPanTro3.chrX.Q10A	mPanTro3.palindromeSeq.chrX.part-21.fa	mPanTro3	21	0.45	99.4	54756	2	mPanTro3.spacerSeq.chrX.part-11.fa	1
mPanTro3.chrX.Q11A	mPanTro3.palindromeSeq.chrX.part-23.fa	mPanTro3	23	0.43	99.9	117213	1087	mPanTro3.spacerSeq.chrX.part-12.fa	0.53
